board,turn,move_num,result,result_scaled,result_scaled_tempo
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,True,5,0,0,0
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5,False,5,2,7.59375,6.935625
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 2 6,True,6,0,0,0
rnbqk2r/pp2ppbp/2p2np1/3pN3/2PP4/6P1/PP2PPBP/RNBQK2R b KQkq - 3 6,False,6,2,7.59375,6.935625
rn1qk2r/pp2ppbp/2p1bnp1/3pN3/2PP4/6P1/PP2PPBP/RNBQK2R w KQkq - 4 7,True,7,0,0,0
rn1qk2r/pp2ppbp/2p1bnp1/3PN3/3P4/6P1/PP2PPBP/RNBQK2R b KQkq - 0 7,False,7,2,7.59375,6.935625
rn1qk2r/pp2ppbp/2p2np1/3bN3/3P4/6P1/PP2PPBP/RNBQK2R w KQkq - 0 8,True,8,0,0,0
rn1qk2r/pp2ppbp/2p2np1/3b4/3P4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 8,False,8,2,7.59375,6.935625
rn2k2r/pp2ppbp/2p2np1/q2b4/3P4/5NP1/PP2PPBP/RNBQK2R w KQkq - 2 9,True,9,0,0,0
rn2k2r/pp2ppbp/2p2np1/q2b4/3P4/5NP1/PP1BPPBP/RN1QK2R b KQkq - 3 9,False,9,2,7.59375,6.935625
rn1qk2r/pp2ppbp/2p2np1/3b4/3P4/5NP1/PP1BPPBP/RN1QK2R w KQkq - 4 10,True,10,0,0,0
rn1qk2r/pp2ppbp/2p2np1/3b4/3P4/4PNP1/PP1B1PBP/RN1QK2R b KQkq - 0 10,False,10,2,7.59375,6.935625
rn1qk2r/pp2ppbp/5np1/2pb4/3P4/4PNP1/PP1B1PBP/RN1QK2R w KQkq - 0 11,True,11,0,0,0
rn1qk2r/pp2ppbp/5np1/2Pb4/8/4PNP1/PP1B1PBP/RN1QK2R b KQkq - 0 11,False,11,2,7.59375,6.935625
r2qk2r/pp2ppbp/n4np1/2Pb4/8/4PNP1/PP1B1PBP/RN1QK2R w KQkq - 1 12,True,12,0,0,0
r2qk2r/pp2ppbp/n4np1/2Pb4/8/2N1PNP1/PP1B1PBP/R2QK2R b KQkq - 2 12,False,12,2,7.59375,6.935625
r2qk2r/pp2ppbp/n1b2np1/2P5/8/2N1PNP1/PP1B1PBP/R2QK2R w KQkq - 3 13,True,13,0,0,0
r2qk2r/pp2ppbp/n1b2np1/2P5/8/2N1PNP1/PP1B1PBP/1R1QK2R b Kkq - 4 13,False,13,2,7.59375,6.935625
r2qk2r/pp2ppbp/2b2np1/2n5/8/2N1PNP1/PP1B1PBP/1R1QK2R w Kkq - 0 14,True,14,0,0,0
r2qk2r/pp2ppbp/2b2np1/2n5/8/2N1PNP1/PP1BQPBP/1R2K2R b Kkq - 1 14,False,14,2,7.59375,6.935625
r2q1rk1/pp2ppbp/2b2np1/2n5/8/2N1PNP1/PP1BQPBP/1R2K2R w K - 2 15,True,15,0,0,0
r2q1rk1/pp2ppbp/2b2np1/2n5/8/2N1PNP1/PP1BQPBP/1R3RK1 b - - 3 15,False,15,2,7.59375,6.935625
r4rk1/pp2ppbp/2b2np1/2n5/8/2NqPNP1/PP1BQPBP/1R3RK1 w - - 4 16,True,16,0,0,0
r4rk1/pp2ppbp/2b2np1/2n5/3N4/2NqP1P1/PP1BQPBP/1R3RK1 b - - 5 16,False,16,2,7.59375,6.935625
r4rk1/pp2ppbp/2b2np1/2n5/3N4/2N1P1P1/PP1BqPBP/1R3RK1 w - - 0 17,True,17,0,0,0
r4rk1/pp2ppbp/2b2np1/2n5/3N4/4P1P1/PP1BNPBP/1R3RK1 b - - 0 17,False,17,2,7.59375,6.935625
r4rk1/pp2ppbp/5np1/2n5/3Nb3/4P1P1/PP1BNPBP/1R3RK1 w - - 1 18,True,18,0,0,0
